customer_id,customer_name,email,region,signup_date,segment
47,Robert Perez,kellerraymond@example.com,East,2023-11-16,Enterprise
48,Diana May,ifrazier@example.com,South,2023-09-12,Retail
49,Wesley White,benjamin96@example.com,South,2024-11-30,Enterprise
50,William Wilson,jonathanfletcher@example.org,Central,2025-10-16,Retail
51,Kimberly Ball,michaeljones@example.net,West,2024-12-25,Retail
52,Mary Martinez,william65@example.com,East,2024-11-02,Wholesale
53,Cheryl Ortega,lbyrd@example.net,South,2026-01-01,Enterprise
54,Joshua Smith,jason99@example.net,North,2024-12-13,Enterprise
55,Jeremy Lewis,yleon@example.net,North,2024-04-20,Enterprise
56,Diane Beck,clarence34@example.org,South,2024-06-05,Enterprise
57,Angel Riggs,gibsonolivia@example.net,Central,2024-05-29,Retail
58,Janet Ross,dianasmith@example.org,Central,2025-05-22,Wholesale
59,Robert Dominguez,pwilliams@example.org,Central,2025-07-10,Enterprise
60,John Schmidt,stephanie79@example.net,East,2025-09-23,Wholesale
61,Terry Griffin,juliawells@example.com,East,2024-08-19,Wholesale
62,Destiny Strickland,rsims@example.com,West,2023-11-29,Retail
63,Cynthia Rogers,taylorjesse@example.net,North,2024-03-25,Wholesale
64,Amy Russell,,Central,2025-11-20,Retail
65,Antonio Wall,lstein@example.net,North,2023-08-31,Retail
66,Pamela James,benderkenneth@example.com,North,2025-05-12,Retail
67,Morgan Marsh,tracynelson@example.com,North,2023-09-15,Wholesale
68,Michael Yates,marycalhoun@example.net,South,2025-11-07,Wholesale
69,James Elliott,millerroy@example.com,South,2024-05-09,Enterprise
70,James Lewis,matthew64@example.com,Central,2024-08-26,Enterprise
71,Julie Curry,cookemichael@example.net,West,2023-11-15,Wholesale
72,Marissa Webster,jamessmith@example.org,North,2024-08-05,Enterprise
73,Michael Elliott,stevenscott@example.com,West,2024-04-17,Wholesale
74,Tracey Higgins,tamirodriguez@example.org,North,2024-11-27,Enterprise
75,Susan Brooks,charlesvaughn@example.net,North,2024-08-12,Retail
76,Raymond Jefferson,hoganashlee@example.org,East,2025-01-21,Retail
77,Mary Jones,alexander67@example.org,South,2025-06-04,Enterprise
78,Madison Poole,ryangross@example.net,West,2024-09-23,Retail
79,Tamara Hampton,ugraham@example.net,South,2024-09-20,Retail
80,David Michael,nicole37@example.net,Central,2026-03-06,Retail
81,Gabrielle Snyder,hunter35@example.com,Central,2025-01-10,Retail
82,Kyle Beard,blackjames@example.org,South,2025-04-23,Retail
83,Peter Vaughn DDS,bwest@example.org,West,2024-10-31,Retail
84,Michael Torres,thomas85@example.com,North,2025-12-02,Retail
85,Michael Nelson,jerry35@example.org,West,2025-11-10,Wholesale
86,Melissa Lee,lhill@example.net,West,2026-02-13,Wholesale
87,Brian Lee,michaelturner@example.net,Central,2025-11-07,Enterprise
88,Angel Brown,heidi27@example.org,South,2023-08-20,Retail
89,Julie Alexander,tammyking@example.com,North,2024-01-25,Enterprise
90,Jennifer Jones,hernandezlisa@example.com,North,2023-12-11,Enterprise
91,Bailey Duran DDS,kimberlyjames@example.com,North,2024-11-04,Enterprise
92,Wanda Torres,lynchjody@example.org,Central,2026-03-29,Retail
93,Matthew Moore,andreamoore@example.com,Central,2025-06-30,Retail
94,Julie Johnson,jasmine71@example.net,North,2024-07-28,Enterprise
95,Rachel Weber,ronaldstephens@example.net,South,2024-03-19,Wholesale
96,Samantha Jones,lauralarson@example.net,Central,2024-10-22,Retail
97,John Torres,gbender@example.net,North,2025-09-06,Enterprise
98,Kyle Preston,cassandra01@example.org,Central,2026-06-13,Enterprise
99,Laura Sampson,barbara27@example.net,East,2026-05-09,Retail
100,Donald Shea,fwalters@example.org,East,2025-07-31,Retail
101,Gary Santiago,marksteele@example.com,South,2026-05-26,Enterprise
102,Robin Pierce,qmiller@example.com,West,2024-01-28,Wholesale
103,Jennifer Robertson,sandovalamy@example.com,North,2023-10-24,Retail
104,Isaiah Avila,nwolf@example.com,Central,2025-12-01,Retail
105,Dwayne Gilmore,omartinez@example.net,South,2024-08-06,Enterprise
106,Emily Smith,hdavis@example.com,East,2024-01-30,Retail
107,Brittany Cantu,william46@example.com,East,2025-08-03,Wholesale
108,Juan Reyes,michellehill@example.com,Central,2025-01-09,Enterprise
109,Katie Hoover,jessica99@example.net,Central,2025-08-30,Retail
110,Jill Washington,andrea86@example.com,Central,2024-12-12,Wholesale
111,Veronica Allen,xhall@example.com,North,2023-10-07,Retail
112,John Mcintyre,qhughes@example.net,North,2024-03-24,Enterprise
113,Andrew Shaw MD,sawyerscott@example.net,East,2025-07-10,Wholesale
114,Charles Pitts,charlesharrington@example.com,East,2025-01-07,Retail
115,Jennifer Miller,melissa86@example.com,East,2026-03-31,Enterprise
116,Olivia Brennan,williamsonjimmy@example.net,North,2024-10-20,Retail
117,Nicole Hamilton MD,wallaceheather@example.org,East,2023-10-11,Retail
118,Anthony Howard,,South,2025-05-31,Enterprise
119,Joseph Knight,georgemiller@example.com,South,2026-03-20,Enterprise
120,Kathleen Aguilar,stevenking@example.com,West,2026-06-01,Enterprise
121,Robert Santana,,North,2026-06-18,Enterprise
122,Angela Landry,danielle64@example.com,Central,2024-11-12,Retail
123,James Webb,patrickhoward@example.com,Central,2024-11-01,Enterprise
124,Ronald Foster,knightgina@example.net,South,2023-10-16,Retail
125,Natasha Wall,kimberly39@example.com,North,2024-07-06,Wholesale
126,Lisa Byrd,courtneyberger@example.net,South,2023-10-01,Enterprise
127,Jeremiah Riley,christopherphillips@example.net,Central,2025-05-07,Wholesale
128,Carlos Ryan,alyssa42@example.com,South,2025-08-18,Retail
129,Elizabeth Harrell,mcdonaldcharles@example.org,South,2026-06-16,Wholesale
130,Veronica Coffey,,East,2025-12-13,Wholesale
131,Richard Smith,gibsonemily@example.net,South,2024-09-11,Wholesale
132,Samantha Bentley,leonardthomas@example.net,North,2025-12-20,Wholesale
133,Leonard Holland,tblankenship@example.net,West,2025-04-26,Retail
134,Andrew Johnson,pwilson@example.net,West,2024-02-27,Wholesale
135,Jacob Avery,umatthews@example.org,South,2025-05-06,Retail
136,Sandra Gilbert,,South,2024-10-08,Wholesale
137,Jacob Ramos,melissagarcia@example.net,North,2025-02-21,Wholesale
138,Vanessa Howard,hhill@example.com,Central,2023-12-21,Wholesale
139,Maria Harper,williamsmatthew@example.org,Central,2025-12-25,Wholesale
140,Ronald Spencer,lisahall@example.org,North,2026-02-11,Wholesale
141,Scott Thomas,amberlindsey@example.org,East,2026-05-23,Retail
142,Bonnie Howard,briannasmith@example.com,West,2023-10-21,Wholesale
143,Jason Wilson,alvarezkimberly@example.net,East,2026-02-08,Wholesale
144,Jonathan Dougherty,acostaregina@example.net,Central,2025-10-19,Retail
145,Mason Johnson,bboone@example.net,Central,2024-01-15,Retail
146,Theodore Jones Jr.,cameronhill@example.net,West,2026-01-26,Retail
147,Erika Vang,shawn96@example.org,Central,2024-01-25,Enterprise
148,Marilyn Mack,russellbeasley@example.com,South,2025-01-08,Wholesale
149,Jennifer Blair,ronald45@example.org,East,2025-08-06,Enterprise
150,Ronald Davis,garnernathan@example.org,North,2025-12-12,Enterprise
151,Tyler Hoffman,jenkinsmorgan@example.com,Central,2023-10-19,Wholesale
152,Lindsay Bell,ericolson@example.org,East,2025-01-25,Wholesale
153,Holly Farmer,lindsaybruce@example.net,Central,2026-03-11,Retail
154,Kristin Lynch,anthony44@example.com,West,2025-01-27,Enterprise
155,Sergio Knight,vjones@example.net,South,2023-09-17,Enterprise
156,Joseph Bennett,xpeterson@example.com,West,2024-12-16,Enterprise
157,Latoya Miller,moorekaren@example.org,East,2026-06-12,Wholesale
158,Jeremy Coleman,nperry@example.net,Central,2024-01-24,Enterprise
159,Brian Gregory,trose@example.org,West,2024-07-08,Wholesale
160,Kyle Smith,sierra24@example.com,South,2024-12-22,Enterprise
161,Jonathan Jordan,omarpadilla@example.net,South,2025-12-15,Enterprise
162,Renee Jones,grahamsteve@example.org,Central,2024-11-29,Enterprise
163,Laura Mckinney,zroberts@example.org,East,2024-12-17,Retail
164,Travis Stevens,christopher13@example.com,South,2026-01-31,Enterprise
165,Blake Harrell,jeffrey21@example.net,South,2026-04-10,Retail
166,Jordan Bullock,,South,2025-01-24,Wholesale
167,Tyler Brewer,joelthomas@example.org,North,2024-04-26,Wholesale
168,Paige Rios,stephanieburton@example.com,Central,2025-12-23,Retail
169,Joann Glass,michelle52@example.com,West,2023-11-15,Wholesale
170,Mark Hogan,bellcharles@example.com,South,2025-07-03,Enterprise
171,Jacob Mitchell,gilbertwilliam@example.com,North,2026-01-18,Wholesale
172,Rebecca Huang,kstout@example.net,Central,2024-05-19,Wholesale
173,John Hernandez,hayeslisa@example.com,South,2023-12-10,Retail
174,Carrie Wright,hritter@example.net,West,2026-03-05,Enterprise
175,Jake Campbell,rschroeder@example.net,Central,2023-10-21,Enterprise
176,Maria Jones,grantpaul@example.com,West,2026-05-16,Enterprise
177,Lindsey Hernandez,aguilardonald@example.com,Central,2024-11-24,Wholesale
178,Melissa Myers,collinsnicholas@example.com,Central,2024-02-15,Wholesale
179,Sandra Rodgers,lucasrodney@example.com,West,2023-08-29,Wholesale
180,Christopher Lewis,ilee@example.org,South,2023-11-28,Enterprise
181,Richard Romero,stanleynancy@example.net,Central,2024-02-20,Wholesale
182,Brittany White,jenniferwilliams@example.com,East,2026-06-16,Wholesale
183,Tracy Bishop,pyoung@example.com,East,2025-07-29,Retail
184,Cheyenne Gregory,smurray@example.com,East,2025-09-20,Enterprise
185,Tracy Montoya,moniquewilliams@example.com,South,2025-02-27,Retail
186,Ashley Singleton,mitchellkathryn@example.com,South,2025-06-28,Enterprise
187,Brittany Kim,lisawilkerson@example.org,West,2025-05-06,Wholesale
188,Jonathan Young,brooksanthony@example.org,West,2026-05-06,Wholesale
189,Charles Johnson,ihorton@example.net,West,2025-07-29,Wholesale
190,Aaron Miller,jason28@example.net,Central,2026-03-03,Enterprise
191,Ashley Roberts,,Central,2024-11-10,Wholesale
192,David Fowler,fbrown@example.net,East,2025-11-10,Wholesale
193,Jose Allen,kellysmith@example.com,West,2024-08-08,Enterprise
194,Chelsea Barnett,carlos88@example.net,Central,2025-09-27,Enterprise
195,Jeanette Harrison,qzavala@example.net,West,2023-08-26,Retail
196,Austin Allen,ingramjill@example.com,West,2024-02-24,Retail
197,Joshua Li,mariacohen@example.net,West,2025-08-13,Enterprise
198,Robin Brown,mjohnson@example.org,West,2024-06-05,Retail
199,Emily Collins,ihays@example.com,Central,2024-08-28,Retail
200,Matthew Mitchell,glennmartin@example.org,Central,2025-02-22,Enterprise
201,James Gonzales,lmorgan@example.com,North,2025-09-11,Enterprise
202,Robert Adams,acostachristian@example.net,West,2024-05-07,Retail
203,Erica Miller,kirk96@example.org,West,2025-06-20,Wholesale
204,Andrew Berg,christina64@example.net,East,2023-10-29,Wholesale
205,Mark Cox,stephaniethomas@example.net,West,2026-06-19,Wholesale
206,Amanda Jones,michael90@example.net,West,2024-03-26,Wholesale
207,Tiffany Watson,berryalyssa@example.com,West,2024-12-01,Retail
208,Danielle Wilson,victorhughes@example.net,North,2024-01-30,Wholesale
209,David Griffin,heather73@example.org,North,2024-02-27,Enterprise
210,Jodi Roach,zosborn@example.net,North,2024-12-09,Retail
211,Michelle Pierce,patricia22@example.com,North,2025-09-29,Enterprise
212,William Conner,kristyjohnson@example.net,South,2026-01-06,Wholesale
213,Robert Arnold,jonesraymond@example.net,Central,2025-08-13,Retail
214,Patricia Morrow,martinezlogan@example.org,East,2025-06-30,Wholesale
215,Joseph Anderson,katrinaanderson@example.net,Central,2023-10-26,Enterprise
216,Kelly Torres,marcusfletcher@example.com,South,2025-10-15,Wholesale
217,Sarah King,david49@example.net,North,2023-12-24,Wholesale
218,Caroline David,georgeweber@example.net,West,2025-01-06,Wholesale
219,Kristy Bryan,millerstacy@example.net,South,2024-09-15,Retail
220,Pamela Butler,jimenezcourtney@example.com,South,2026-04-24,Retail
221,Karen Ballard,eevans@example.net,East,2023-11-02,Enterprise
222,Jason Marshall,catherine55@example.net,North,2025-01-18,Enterprise
223,Bianca Wood,floressteven@example.com,East,2025-06-29,Enterprise
224,Brent Roberts,alin@example.org,East,2024-04-05,Retail
225,Taylor Griffith,kathrynjimenez@example.net,East,2025-07-26,Retail
226,Mr. Alexander Landry MD,jasongomez@example.org,West,2024-10-11,Retail
227,Stephen Pena MD,booneryan@example.com,East,2025-02-19,Enterprise
228,Holly Morales,michaelroberts@example.com,West,2025-09-22,Enterprise
229,Joshua Bryan,andersoncolin@example.com,South,2025-01-08,Enterprise
230,Holly Thomas,cporter@example.org,East,2024-02-29,Enterprise
231,Regina Stone,catherinerobertson@example.com,Central,2026-03-10,Wholesale
232,James Jensen,brittney88@example.net,Central,2025-08-30,Wholesale
233,Elizabeth Cabrera,mark16@example.net,South,2024-11-20,Retail
234,Molly Watts,carlsonjoseph@example.net,West,2026-01-15,Retail
235,Mikayla Silva,alexandriagriffith@example.com,Central,2024-03-17,Enterprise
236,Dana Armstrong,leescott@example.com,East,2024-03-23,Retail
237,Damon Shaw,vsalas@example.net,East,2023-11-05,Retail
238,Kelly Hoffman,ufox@example.org,East,2025-07-15,Wholesale
239,Gloria Gomez,chelsea33@example.com,Central,2025-12-14,Enterprise
240,Todd Hendrix,janet75@example.com,Central,2025-01-23,Retail
241,Taylor Griffith,david86@example.com,South,2025-01-18,Retail
242,Regina Roberts,stephanie15@example.com,West,2026-05-16,Wholesale
243,John Harris,sarah42@example.org,South,2026-03-14,Enterprise
244,Cynthia Williams,danawilliams@example.com,West,2024-12-26,Wholesale
245,Ashlee Townsend,oconnelltiffany@example.org,North,2025-04-24,Wholesale
246,Shirley Alvarez,katelynmitchell@example.com,South,2026-04-30,Wholesale
247,Randy Pearson,amandasharp@example.org,East,2024-04-28,Wholesale
248,Ryan Peck,osbornrandy@example.com,East,2024-05-16,Wholesale
249,Tonya Howe,smithashley@example.org,Central,2025-01-02,Wholesale
250,William Daniels,ismall@example.net,West,2025-07-28,Wholesale
251,Robert Rivera,twong@example.org,South,2023-08-22,Retail
252,Rachel Bradley,gregorychase@example.com,East,2025-05-26,Retail
253,Angie Caldwell,tinawoods@example.org,South,2023-08-11,Retail
254,David Molina,kevin90@example.com,West,2026-05-12,Wholesale
255,David Contreras,zparker@example.net,Central,2025-09-19,Enterprise
256,Stacy Carrillo,fowlershelia@example.com,North,2026-03-12,Retail
257,Tyler Mendoza,madkins@example.com,East,2025-05-07,Retail
258,Susan Todd,kathleenbecker@example.net,Central,2023-12-06,Retail
259,Kelsey Cox,brownamy@example.net,North,2024-06-10,Enterprise
260,Brittany Murphy,nwilson@example.net,South,2026-01-22,Enterprise
261,Steven Griffin Jr.,williambryant@example.org,West,2025-12-16,Retail
262,Robert Cummings,ascott@example.net,Central,2024-07-04,Wholesale
263,Amber Cooper,weaverbrian@example.org,West,2025-08-03,Wholesale
264,Jason Mack,ybrooks@example.com,North,2025-03-09,Wholesale
265,Michael Stanley,desireebailey@example.org,West,2025-11-12,Retail
266,Cameron Irwin,avilatiffany@example.com,West,2026-06-12,Wholesale
267,Jessica Gray,johnreed@example.com,North,2024-05-19,Retail
268,Molly Rodriguez,bmendez@example.org,Central,2024-06-16,Wholesale
269,Kirk Griffin,sanchezbradley@example.com,South,2024-07-30,Retail
270,Nicole Parsons,williamroberts@example.net,West,2026-01-11,Enterprise
271,Kyle Chambers,joel28@example.org,Central,2025-05-04,Retail
272,Antonio Fry,conniesimmons@example.com,West,2023-10-12,Wholesale
273,Teresa Powers,heather62@example.com,East,2025-03-07,Enterprise
274,Joshua Allen,kevinzimmerman@example.com,East,2023-10-29,Enterprise
275,Tracy Grant,paulscott@example.com,Central,2026-05-01,Enterprise
276,Jerry Watson,brettbennett@example.net,South,2026-02-22,Enterprise
277,Benjamin Ballard,timothybooth@example.com,North,2024-11-13,Retail
278,Alexis Giles,burgesskaren@example.org,Central,2026-02-24,Retail
279,Jennifer Allen,kimberly67@example.net,West,2026-05-04,Wholesale
280,Dennis Hunt,zowens@example.net,West,2025-07-30,Wholesale
281,Erica Harris,robert93@example.net,East,2024-03-14,Enterprise
282,Juan Silva,mphillips@example.com,West,2024-07-23,Retail
283,Roy Porter,jonathan77@example.com,East,2024-04-18,Enterprise
284,Heather Taylor,iwhite@example.net,South,2023-10-31,Wholesale
285,Sara Jones,duranrobert@example.net,South,2024-07-25,Enterprise
286,Chris Robinson,nbrooks@example.net,East,2026-06-01,Retail
287,Susan Hopkins,smithandrea@example.org,South,2023-08-26,Wholesale
288,Denise Madden,shawheidi@example.com,Central,2024-05-05,Wholesale
289,Brent Hernandez,christineking@example.com,West,2024-09-19,Enterprise
290,Angela Chung,scunningham@example.org,West,2024-11-08,Wholesale
291,Sarah Valdez,davisnicholas@example.net,West,2025-08-09,Wholesale
292,Adam Jackson,pbruce@example.com,North,2025-12-27,Wholesale
293,Valerie Jacobson,hallrachel@example.net,Central,2025-12-28,Wholesale
294,Anthony Jones,,South,2024-10-09,Enterprise
295,Kristy Johnson,alexis39@example.org,Central,2025-04-10,Enterprise
296,Elizabeth Elliott,irhodes@example.com,East,2025-03-19,Enterprise
297,Brenda Hinton,masonterri@example.org,South,2023-12-30,Wholesale
298,Ryan Peterson,unovak@example.org,West,2026-04-12,Wholesale
299,Willie Henry,angela66@example.org,Central,2026-06-21,Wholesale
300,Jamie Barton,lauren11@example.com,West,2024-03-27,Retail
301,Richard Moore,gstewart@example.org,West,2023-08-09,Wholesale
302,Jill Juarez,andersonjacob@example.com,North,2025-12-13,Retail
303,Jennifer Johnson,angela99@example.com,West,2025-03-21,Wholesale
304,Jason Maxwell,ashleyjackson@example.com,West,2024-04-20,Enterprise
305,Eric Snyder,jacksonjoshua@example.com,North,2025-08-22,Wholesale
306,Heather Raymond,mwheeler@example.com,North,2024-01-14,Wholesale
307,Adam Foster,vbrock@example.com,North,2025-01-01,Enterprise
308,Rodney Curtis,kevinmorrison@example.net,West,2024-06-08,Wholesale
309,Christopher Sanders,kelly79@example.org,Central,2024-12-19,Wholesale
310,Robert Long,frederickjames@example.net,West,2024-05-06,Enterprise
311,Krista Benton,nhahn@example.com,North,2024-10-26,Retail
312,Andrea Abbott,ichambers@example.net,South,2024-11-13,Wholesale
313,Matthew Espinoza,mjones@example.com,West,2026-01-21,Retail
314,Jonathon Knapp,,Central,2025-05-11,Retail
315,Rachel Ward,rodriguezjohn@example.net,East,2025-02-02,Enterprise
316,Lonnie Hart,,West,2026-04-29,Retail
317,Jennifer Goodwin,grodriguez@example.com,North,2024-07-10,Wholesale
318,Kelly Carpenter,seanmyers@example.net,South,2026-01-31,Wholesale
319,Brittany Cuevas,agarcia@example.org,East,2024-01-28,Enterprise
320,Monica Bailey,stanley38@example.com,West,2025-01-23,Wholesale
321,Jeffrey Horton,carlos01@example.org,South,2025-01-14,Wholesale
322,Megan Martin,zacharyarnold@example.com,West,2025-12-17,Retail
323,Joel Salinas,jacobsandoval@example.com,Central,2023-09-15,Enterprise
324,Sonya Cole,tprice@example.org,North,2024-06-15,Wholesale
325,Michael Flynn,lloydamanda@example.com,West,2024-12-19,Wholesale
326,Brian Lambert,orose@example.com,Central,2026-02-13,Wholesale
327,James Wilson,megan92@example.net,East,2024-11-05,Enterprise
328,Leslie Powers,david41@example.org,Central,2025-03-02,Enterprise
329,Kayla Barnes,baileyhenderson@example.com,West,2026-04-14,Retail
330,Tamara Arias,angelaburns@example.org,West,2024-05-17,Wholesale
331,Jerry Brown,stephanie72@example.org,Central,2025-03-19,Wholesale
332,Kathy Simpson,cperry@example.com,East,2024-04-16,Retail
333,Andre Juarez,antonio38@example.com,South,2024-04-18,Enterprise
334,Krystal Barton,hdunn@example.net,West,2024-01-25,Retail
335,Joshua Ritter,wolfscott@example.org,West,2025-05-22,Enterprise
336,Ronald Potter,nancy07@example.com,West,2025-01-23,Wholesale
337,Angie Grimes,rowejoel@example.net,South,2026-01-30,Wholesale
338,Shannon Bishop,imartin@example.org,South,2024-06-17,Enterprise
339,Laura Patel,mariopadilla@example.com,East,2026-01-06,Retail
340,Scott Duke,taylorkaren@example.com,West,2023-11-01,Retail
341,Sharon Martinez DVM,dustinmorris@example.org,West,2026-06-16,Retail
342,Charles Chen,ebrooks@example.net,West,2023-12-23,Enterprise
343,Paul Neal,shawn75@example.net,North,2023-08-04,Wholesale
344,Sarah Davis,sreid@example.com,East,2023-11-07,Wholesale
345,Jennifer Donaldson,troymorris@example.com,West,2025-01-06,Enterprise
346,Bianca Phelps,patricia00@example.org,East,2026-03-30,Enterprise
347,Julia Martinez,scottsmith@example.com,West,2024-06-10,Wholesale
348,Susan Khan MD,clarence54@example.org,West,2025-02-28,Enterprise
349,Mariah Williams,jessica36@example.net,North,2023-12-20,Retail
350,April Woods,brittneystone@example.com,East,2023-08-15,Retail
351,Greg Martinez,ebenson@example.org,West,2024-07-21,Retail
352,Nicholas Garcia,michael42@example.com,North,2024-02-23,Wholesale
353,Megan Jones,bishopfrank@example.com,East,2024-06-26,Retail
354,Brittany Jenkins,fheath@example.org,North,2024-03-05,Wholesale
355,Leah Cruz,iedwards@example.org,West,2024-10-04,Retail
356,Danielle Burke,kimberly04@example.org,West,2025-10-13,Enterprise
357,Chelsea Myers,bowerslaura@example.org,South,2025-09-07,Retail
358,David Little,ricetiffany@example.com,Central,2024-12-04,Wholesale
359,Scott Carroll,amy27@example.org,South,2023-08-26,Wholesale
360,Alexis Lewis,fryraymond@example.com,South,2026-04-03,Retail
361,Pamela Henderson,imiller@example.net,East,2026-03-14,Wholesale
362,Bradley Miller,terrimoore@example.com,North,2025-03-29,Wholesale
363,Pamela Santos,collinssamuel@example.org,Central,2023-10-29,Retail
364,Tim Wilson,parkerjudith@example.net,East,2024-04-29,Enterprise
365,Michael Miles,tylerreed@example.net,West,2024-09-06,Enterprise
366,Cameron Norman,jessica10@example.com,East,2025-05-28,Retail
367,Austin Joseph,crawfordwilliam@example.org,West,2025-09-15,Retail
368,Carol Moore,shannonemily@example.org,Central,2024-07-20,Wholesale
369,April Trevino,sanchezthomas@example.com,East,2024-03-21,Retail
370,Tyler Johnson,pwalker@example.com,West,2024-12-10,Wholesale
371,Blake Watson,,North,2025-09-18,Enterprise
372,Amy Walker,finleycasey@example.com,East,2024-10-12,Retail
373,Emily Miller,msmith@example.com,East,2025-12-23,Retail
374,Nancy Sanchez,brittany73@example.net,Central,2025-11-27,Wholesale
375,Danielle Smith,ijohnson@example.com,South,2026-04-14,Enterprise
376,Sherry Tapia,blakenicholas@example.net,North,2024-11-20,Wholesale
377,Joseph Allen,jwoodward@example.net,North,2024-10-08,Enterprise
378,Thomas Merritt,xhaynes@example.com,South,2023-12-10,Retail
379,Kathy Walsh,kjones@example.org,East,2025-06-06,Enterprise
380,Bianca Carter,sara65@example.com,South,2025-07-04,Retail
381,Benjamin Harris,moorefrank@example.com,East,2024-11-30,Enterprise
382,Joshua Oconnell,shannonford@example.org,East,2023-12-19,Retail
383,Michael Mckenzie,lewismelissa@example.org,West,2023-12-20,Wholesale
384,Tracy Foster,byrdjorge@example.org,East,2023-09-18,Retail
385,Sarah Hawkins,codygarcia@example.org,North,2024-02-05,Retail
386,Ronald Haas,jamesmorales@example.net,South,2026-04-06,Enterprise
387,Angela Willis,johnsoncaleb@example.net,West,2025-06-19,Enterprise
388,Anna Boone,david70@example.org,West,2026-01-08,Retail
389,Nathaniel Crawford,lvega@example.com,North,2024-06-29,Wholesale
390,Denise Griffin,austinharvey@example.org,East,2026-05-02,Enterprise
391,Jason Pierce,millerpatrick@example.com,East,2024-06-05,Retail
392,Rebecca Wright,mayokimberly@example.com,West,2025-08-15,Retail
393,Kari Durham,paul20@example.com,Central,2026-02-13,Wholesale
394,Steven Osborne,stokesthomas@example.com,South,2026-01-24,Enterprise
395,Dr. Ariel Sandoval MD,gallagherstacie@example.net,West,2025-03-26,Enterprise
396,Ryan Bruce,joelstewart@example.net,West,2025-02-08,Retail
397,Alyssa Haynes,annalopez@example.com,North,2025-11-20,Wholesale
398,John Davis,carolynsmith@example.com,North,2023-08-02,Retail
399,Lucas Drake,jennifer50@example.org,Central,2024-03-17,Retail
400,Sylvia Schroeder,susan56@example.net,East,2024-01-04,Enterprise
401,Frank Daugherty,fconner@example.net,Central,2024-12-05,Wholesale
402,Wayne Steele,jeffrey92@example.com,South,2024-11-19,Wholesale
403,Elizabeth Thompson,rushstacy@example.com,West,2025-12-29,Enterprise
404,Lance Mccall,daniellegarcia@example.com,East,2024-03-06,Retail
405,Blake Reed,gary15@example.com,South,2023-08-18,Wholesale
